time,pos_x,pos_y,pos_theta,target_angle_rad,error_angle_rad,error_x,error_y,error_distance,vel_linear_x,vel_angular_z,vel_x_global,vel_y_global,state
1.430511474609375e-06,5.544444561004639,5.544444561004639,0.0,2.242794238526954,0.0,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,0.0,0.0,0.0,ROTACIONAR
0.0012962818145751953,5.544444561004639,5.544444561004639,0.0,2.242794238526954,2.242794238526954,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.002720355987548828,5.544444561004639,5.544444561004639,0.0,2.242794238526954,2.242794238526954,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.003970146179199219,5.544444561004639,5.544444561004639,0.0,2.242794238526954,2.242794238526954,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.005254983901977539,5.544444561004639,5.544444561004639,0.0,2.242794238526954,2.242794238526954,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.006523609161376953,5.544444561004639,5.544444561004639,0.0,2.242794238526954,2.242794238526954,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.008213281631469727,5.544444561004639,5.544444561004639,0.0,2.242794238526954,2.242794238526954,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.021428585052490234,5.544444561004639,5.544444561004639,0.01600000075995922,2.242794238526954,2.226794237766995,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.03766989707946777,5.544444561004639,5.544444561004639,0.03200000151991844,2.242794238526954,2.2107942370070357,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.052762508392333984,5.544444561004639,5.544444561004639,0.04800000041723251,2.242794238526954,2.1947942381097216,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.06897687911987305,5.544444561004639,5.544444561004639,0.06400000303983688,2.242794238526954,2.1787942354871173,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.08538651466369629,5.544444561004639,5.544444561004639,0.07999999821186066,2.242794238526954,2.1627942403150935,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.10166573524475098,5.544444561004639,5.544444561004639,0.09600000083446503,2.242794238526954,2.146794237692489,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.11687827110290527,5.544444561004639,5.544444561004639,0.1120000034570694,2.242794238526954,2.1307942350698847,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.13298511505126953,5.544444561004639,5.544444561004639,0.12800000607967377,2.242794238526954,2.1147942324472804,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.14922475814819336,5.544444561004639,5.544444561004639,0.14399999380111694,2.242794238526954,2.098794244725837,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.16542267799377441,5.544444561004639,5.544444561004639,0.1599999964237213,2.242794238526954,2.082794242103233,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.1814723014831543,5.544444561004639,5.544444561004639,0.17599999904632568,2.242794238526954,2.0667942394806285,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
0.19684386253356934,5.544444561004639,5.544444561004639,0.19200000166893005,2.242794238526954,2.050794236858024,-3.5444445610046387,4.455555438995361,5.693422653904812,0.0,1.0,0.0,0.0,ROTACIONAR
